Eval:::Epoch [49/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [50/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [51/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [52/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [53/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [54/500], Loss: 0.0000, Dev Accuracy: 0.9417, Dev F1 Score: 0.9363
Eval:::Epoch [55/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [56/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [57/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [58/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [59/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [60/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [61/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [62/500], Loss: 0.0004, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [63/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [64/500], Loss: 0.0003, Dev Accuracy: 0.9388, Dev F1 Score: 0.9320
Eval:::Epoch [65/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [66/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [67/500], Loss: 0.0000, Dev Accuracy: 0.9446, Dev F1 Score: 0.9397
Eval:::Epoch [68/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [69/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
Eval:::Epoch [70/500], Loss: 0.0001, Dev Accuracy: 0.9446, Dev F1 Score: 0.9393
