Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [59/500], Loss: 0.2082, Dev Accuracy: 0.9096, Dev F1 Score: 0.8977
Eval:::Epoch [60/500], Loss: 0.2063, Dev Accuracy: 0.9125, Dev F1 Score: 0.9013
Eval:::Epoch [61/500], Loss: 0.2043, Dev Accuracy: 0.9125, Dev F1 Score: 0.9013
Eval:::Epoch [62/500], Loss: 0.2026, Dev Accuracy: 0.9067, Dev F1 Score: 0.8947
Eval:::Epoch [63/500], Loss: 0.2008, Dev Accuracy: 0.9067, Dev F1 Score: 0.8947
Eval:::Epoch [64/500], Loss: 0.1990, Dev Accuracy: 0.9125, Dev F1 Score: 0.9020
Eval:::Epoch [65/500], Loss: 0.1974, Dev Accuracy: 0.9125, Dev F1 Score: 0.9020
Eval:::Epoch [66/500], Loss: 0.1957, Dev Accuracy: 0.9125, Dev F1 Score: 0.9020
Eval:::Epoch [67/500], Loss: 0.1940, Dev Accuracy: 0.9125, Dev F1 Score: 0.9020
Eval:::Epoch [68/500], Loss: 0.1924, Dev Accuracy: 0.9125, Dev F1 Score: 0.9020
Eval:::Epoch [69/500], Loss: 0.1908, Dev Accuracy: 0.9155, Dev F1 Score: 0.9049
Eval:::Epoch [70/500], Loss: 0.1895, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [71/500], Loss: 0.1879, Dev Accuracy: 0.9155, Dev F1 Score: 0.9049
Eval:::Epoch [72/500], Loss: 0.1863, Dev Accuracy: 0.9184, Dev F1 Score: 0.9085
Eval:::Epoch [73/500], Loss: 0.1850, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [74/500], Loss: 0.1836, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [75/500], Loss: 0.1823, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [76/500], Loss: 0.1810, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [77/500], Loss: 0.1796, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [78/500], Loss: 0.1788, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [79/500], Loss: 0.1776, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [80/500], Loss: 0.1764, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [81/500], Loss: 0.1752, Dev Accuracy: 0.9184, Dev F1 Score: 0.9085
Eval:::Epoch [82/500], Loss: 0.1741, Dev Accuracy: 0.9184, Dev F1 Score: 0.9091
Eval:::Epoch [83/500], Loss: 0.1731, Dev Accuracy: 0.9155, Dev F1 Score: 0.9055
Eval:::Epoch [84/500], Loss: 0.1719, Dev Accuracy: 0.9213, Dev F1 Score: 0.9126
Eval:::Epoch [85/500], Loss: 0.1709, Dev Accuracy: 0.9213, Dev F1 Score: 0.9126
Eval:::Epoch [86/500], Loss: 0.1700, Dev Accuracy: 0.9213, Dev F1 Score: 0.9126
Eval:::Epoch [87/500], Loss: 0.1692, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [88/500], Loss: 0.1680, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [89/500], Loss: 0.1669, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [90/500], Loss: 0.1658, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [91/500], Loss: 0.1649, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [92/500], Loss: 0.1642, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [93/500], Loss: 0.1631, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [94/500], Loss: 0.1622, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [95/500], Loss: 0.1613, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [96/500], Loss: 0.1605, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [97/500], Loss: 0.1597, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [98/500], Loss: 0.1587, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [99/500], Loss: 0.1582, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [100/500], Loss: 0.1572, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [101/500], Loss: 0.1564, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [102/500], Loss: 0.1557, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [103/500], Loss: 0.1549, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [104/500], Loss: 0.1540, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [105/500], Loss: 0.1532, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [106/500], Loss: 0.1524, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [107/500], Loss: 0.1518, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [108/500], Loss: 0.1510, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [109/500], Loss: 0.1504, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [110/500], Loss: 0.1499, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [111/500], Loss: 0.1493, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [112/500], Loss: 0.1487, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [113/500], Loss: 0.1480, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [114/500], Loss: 0.1473, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [115/500], Loss: 0.1470, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [116/500], Loss: 0.1464, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [117/500], Loss: 0.1457, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [118/500], Loss: 0.1450, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [119/500], Loss: 0.1445, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [120/500], Loss: 0.1440, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [121/500], Loss: 0.1434, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [122/500], Loss: 0.1428, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [123/500], Loss: 0.1423, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
